market,date,timestamp,period,interval,price_type,price_rmb_mwh,source,source_url,retrieved_at,is_simulated,schema_version
shandong,2026-08-01,2026-08-01T00:00:00+08:00,1,15,day_ahead,230.0,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T00:15:00+08:00,2,15,day_ahead,233.92,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T00:30:00+08:00,3,15,day_ahead,237.76,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T00:45:00+08:00,4,15,day_ahead,241.48,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T01:00:00+08:00,5,15,day_ahead,245.0,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T01:15:00+08:00,6,15,day_ahead,248.26,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T01:30:00+08:00,7,15,day_ahead,251.21,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T01:45:00+08:00,8,15,day_ahead,253.8,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T02:00:00+08:00,9,15,day_ahead,255.98,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T02:15:00+08:00,10,15,day_ahead,257.72,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T02:30:00+08:00,11,15,day_ahead,258.98,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
shandong,2026-08-01,2026-08-01T02:45:00+08:00,12,15,day_ahead,259.74,VoltPulse Synthetic Benchmark (Duck Curve Simulation),synthetic://shandong-duck-curve-generator,2026-08-01T22:00:00+08:00,True,1.0.0
